Id_Equipe;Equipe;Logo;;;;;;;;;
1001;America-MG;https://logodetimes.com/times/america-mineiro/logo-america-mineiro-512.png;;;;;;;;;
1002;America-RN;https://upload.wikimedia.org/wikipedia/commons/6/61/Am%C3%A9rica_Futebol_Clube_%28Natal%29_logo_%282023%29.png;;;;;;;;;
1003;Athletico-PR;https://logodetimes.com/times/atletico-paranaense/logo-atletico-paranaense-512.png;;;;;;;;;
1004;Atletico-GO;https://logodetimes.com/times/atletico-goianiense/logo-atletico-goianiense-com-estrela-512.png;;;;;;;;;
1005;Atletico-MG;https://logodetimes.com/times/atletico-mineiro/logo-atletico-mineiro-512.png;;;;;;;;;
1006;Avai;https://logodetimes.com/times/avai/logo-avai-512.png;;;;;;;;;
1007;Bahia;https://logodetimes.com/times/bahia/logo-bahia-512.png;;;;;;;;;
1008;Barueri;https://logodetimes.com/times/oeste/logo-oeste-512.png;;;;;;;;;
1009;Botafogo-RJ;https://logodetimes.com/times/botafogo/logo-botafogo-512.png;;;;;;;;;
1010;Bragantino;https://logodetimes.com/times/red-bull-bragantino/logo-red-bull-bragantino-512.png;;;;;;;;;
1011;Brasiliense;https://upload.wikimedia.org/wikipedia/pt/3/3a/Brasiliense_Futebol_Clube.png;;;;;;;;;
1012;Ceara;https://logodetimes.com/times/ceara/logo-ceara-512.png;;;;;;;;;
1013;Chapecoense;https://logodetimes.com/times/chapecoense/logo-chapecoense-512.png;;;;;;;;;
1014;Corinthians;https://logodetimes.com/times/corinthians/logo-corinthians-512.png;;;;;;;;;
1015;Coritiba;https://logodetimes.com/times/coritiba/logo-coritiba-512.png;;;;;;;;;
1016;Criciuma;https://logodetimes.com/times/criciuma/logo-criciuma-5.png;;;;;;;;;
1017;Cruzeiro;https://logodetimes.com/times/cruzeiro/logo-cruzeiro-512.png;;;;;;;;;
1018;CSA;https://logodetimes.com/times/csa/logo-csa-512.png;;;;;;;;;
1019;Cuiaba;https://logodetimes.com/times/cuiaba/logo-cuiaba-512.png;;;;;;;;;
1020;Figueirense;https://logodetimes.com/times/figueirense/logo-figueirense-512.png;;;;;;;;;
1021;Flamengo;https://logodetimes.com/times/flamengo/logo-flamengo-512.png;;;;;;;;;
1022;Fluminense;https://logodetimes.com/times/fluminense/logo-fluminense-512.png;;;;;;;;;
1023;Fortaleza;https://logodetimes.com/times/fortaleza/logo-fortaleza-512.png;;;;;;;;;
1024;Goias;https://logodetimes.com/times/goias/logo-goias-esporte-clube-512.png;;;;;;;;;
1025;Gremio;https://logodetimes.com/times/gremio/logo-gremio-512.png;;;;;;;;;
1026;Gremio Prudente;https://logodetimes.com/times/oeste/logo-oeste-512.png;;;;;;;;;
1027;Guarani;https://logodetimes.com/times/guarani/logo-guarani-512.png;;;;;;;;;
1028;Internacional;https://logodetimes.com/times/internacional/logo-internacional-512.png;;;;;;;;;
1029;Ipatinga;https://upload.wikimedia.org/wikipedia/en/4/4e/Ipatinga_FC.png;;;;;;;;;
1030;Joinville;https://upload.wikimedia.org/wikipedia/pt/3/31/Joinville-SC.png;;;;;;;;;
1031;Juventude;https://logodetimes.com/times/juventude/logo-juventude-512.png;;;;;;;;;
1032;Nautico;https://logodetimes.com/times/nautico/logo-nautico-512.png;;;;;;;;;
1033;Palmeiras;https://logodetimes.com/times/palmeiras/logo-palmeiras-512.png;;;;;;;;;https://logodetimes.com/times/red-bull-bragantino/logo-red-bull-bragantino-512.png
1034;Parana;https://logodetimes.com/times/parana/logo-parana-512.png;;;;;;;;;
1035;Paysandu;https://logodetimes.com/times/paysandu/logo-paysandu-4.png;;;;;;;;;
1036;Ponte Preta;https://logodetimes.com/times/ponte-preta/logo-ponte-preta-512.png;;;;;;;;;
1037;Portuguesa;https://upload.wikimedia.org/wikipedia/commons/d/db/Portuguesa_de_Desportos.png;;;;;;;;;
1038;Santa Cruz;https://logodetimes.com/times/santa-cruz/logo-santa-cruz-512.png;;;;;;;;;
1039;Santo Andre;https://logodetimes.com/times/santo-andre/logo-santo-andre-512.png;;;;;;;;;
1040;Santos;https://logodetimes.com/times/santos/logo-santos-512.png;;;;;;;;;
1041;Sao Caetano;https://logodetimes.com/times/sao-caetano/logo-sao-caetano-512.png;;;;;;;;;
1042;Sao Paulo;https://logodetimes.com/times/sao-paulo/logo-sao-paulo-512.png;;;;;;;;;
1043;Sport;https://logodetimes.com/times/sport-recife/logo-sport-recife-512.png;;;;;;;;;
1044;Vasco;https://logodetimes.com/times/vasco-da-gama/logo-vasco-da-gama-512.png;;;;;;;;;
1045;Vitoria;https://logodetimes.com/times/vitoria/logo-vitoria-512.png;;;;;;;;;
